EventCode,LogName,"Windows_OS_Support","more_info",signature,"signature_severity",state
692,Security,"Windows (2000 XP) and Windows Server (2003)",,"Basic Application Group Non-Member Removed",LOW,NA
693,Security,"Windows (2000 XP) and Windows Server (2003)",,"Basic Application Group Deleted",LOW,NA
694,Security,"Windows (2000 XP) and Windows Server (2003)",,"LDAP Query Group Created",LOW,NA
695,Security,"Windows (2000 XP) and Windows Server (2003)",,"LDAP Query Group Changed",LOW,NA
696,Security,"Windows (2000 XP) and Windows Server (2003)",,"LDAP Query Group Deleted",LOW,NA
697,Security,"Windows (2000 XP) and Windows Server (2003)",,"Password Policy Checking API is called",LOW,NA
806,Security,"Windows (2000 XP) and Windows Server (2003)",,"Per User Audit Policy was refreshed",LOW,NA
807,Security,"Windows (2000 XP) and Windows Server (2003)",,"Per user auditing policy set for user",LOW,NA
808,Security,"Windows (2000 XP) and Windows Server (2003)",,"A security event source has attempted to register",LOW,NA
809,Security,"Windows (2000 XP) and Windows Server (2003)",,"A security event source has attempted to unregister",LOW,NA
848,Security,"Windows (2000 XP) and Windows Server (2003)",,"The following policy was active when the Windows Firewall started",LOW,NA
849,Security,"Windows (2000 XP) and Windows Server (2003)",,"An application was listed as an exception when the Windows Firewall started",LOW,NA
850,Security,"Windows (2000 XP) and Windows Server (2003)",,"A port was listed as an exception when the Windows Firewall started",LOW,NA
851,Security,"Windows (2000 XP) and Windows Server (2003)",,"A change has been made to the Windows Firewall application exception list",LOW,NA
852,Security,"Windows (2000 XP) and Windows Server (2003)",,"A change has been made to the Windows Firewall port exception list",LOW,NA
853,Security,"Windows (2000 XP) and Windows Server (2003)",,"The Windows Firewall operational mode has changed",LOW,NA
854,Security,"Windows (2000 XP) and Windows Server (2003)",,"The Windows Firewall logging settings have changed",LOW,NA
855,Security,"Windows (2000 XP) and Windows Server (2003)",,"A Windows Firewall ICMP setting has changed",LOW,NA
856,Security,"Windows (2000 XP) and Windows Server (2003)",,"The Windows Firewall setting to allow unicast responses to multicast/broadcast traffic has changed",LOW,NA
857,Security,"Windows (2000 XP) and Windows Server (2003)",,"The Windows Firewall setting to allow remote administration allowing port TCP 135 and DCOM/RPC has changed",LOW,NA
858,Security,"Windows (2000 XP) and Windows Server (2003)",,"Windows Firewall group policy settings have been applied",LOW,NA
859,Security,"Windows (2000 XP) and Windows Server (2003)",,"The Windows Firewall group policy settings have been removed",LOW,NA
860,Security,"Windows (2000 XP) and Windows Server (2003)",,"The Windows Firewall has switched the active policy profile",LOW,NA
861,Security,"Windows (2000 XP) and Windows Server (2003)",,"The Windows Firewall has detected an application listening for incoming traffic",LOW,NA
1100,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"The event logging service has shut down",LOW,NA
1101,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Audit events have been dropped by the transport.",LOW,NA
1102,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"The audit log was cleared",HIGH,NA
1104,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"The security Log is now full",HIGH,NA
1105,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Event log automatic backup",LOW,NA
1108,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"The event logging service encountered an error",LOW,NA
4608,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Windows is starting up",LOW,NA
